City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
255,musawa,12.1272,7.6698,31.64,42,59,3.27,NG,1690395040
256,usinsk,65.9939,57.5281,14.89,93,100,3.16,RU,1690395040
257,kotamangalam,10.0667,76.6333,24.84,94,96,0.58,IN,1690395041
258,al bawiti,28.3492,28.8659,34.14,17,0,4.72,EG,1690394848
259,weno,7.4515,151.8468,24.97,100,100,4.63,FM,1690395469
260,san patricio,28.017,-97.5169,37.97,37,0,7.1,US,1690395469
261,arraial do cabo,-22.9661,-42.0278,21.92,88,75,11.32,BR,1690395469
262,sandnessjoen,66.0217,12.6316,19.29,68,40,4.12,NO,1690395400
263,hithadhoo,-0.6,73.0833,28.55,78,42,7.63,MV,1690395469
264,bristol,41.8334,-71.1662,32.19,57,0,3.13,US,1690394798
265,kittila,67.6647,24.8936,16.08,77,0,1.54,FI,1690395042
266,richards bay,-28.783,32.0377,19.23,72,54,8.13,ZA,1690395470
267,kirensk,57.7853,108.1119,16.92,93,99,0.52,RU,1690395042
268,salalah,17.0151,54.0924,26.05,89,100,4.12,OM,1690394769
269,juegang,32.3174,121.1855,28.28,93,84,5.28,CN,1690394814
270,bushehr,28.9684,50.8385,33.05,70,0,0.0,IR,1690395043
271,nova sintra,14.8667,-24.7167,23.41,84,99,4.17,CV,1690395472
272,laguna,38.421,-121.4238,33.38,48,0,5.66,US,1690395472
273,mirnyy,62.5353,113.9611,14.02,87,46,4.02,RU,1690395043
274,baharly,38.4362,57.4316,33.3,42,50,4.49,TM,1690395044
275,dayton,39.7589,-84.1916,33.8,61,75,9.77,US,1690395044
276,sinabang,2.4803,96.3801,26.67,84,86,1.44,ID,1690395414
277,komsomolets,53.7453,62.0708,20.39,54,72,2.49,KZ,1690395045
278,mitu,1.1983,-70.1733,32.86,48,19,0.9,CO,1690395046
279,lamarque,-39.423,-65.7021,10.4,51,32,0.35,AR,1690395473
280,petropavl,54.8753,69.1628,16.77,85,89,2.96,KZ,1690395046
281,iwanai,42.9744,140.5089,21.15,93,42,1.7,JP,1690395052
282,mwinilunga,-11.7358,24.4293,17.96,33,8,2.03,ZM,1690395052
283,shimoda,34.6667,138.95,25.61,82,50,2.11,JP,1690395474
284,wuwei,37.9281,102.6414,22.2,50,100,1.81,CN,1690395052
285,buala,-8.145,159.5921,26.55,84,98,1.77,SB,1690395474
286,iskateley,67.6803,53.1512,17.86,74,100,2.13,RU,1690395475
287,argo,37.6333,22.7333,32.1,24,6,2.25,GR,1690395054
288,maintirano,-18.0667,44.0167,22.74,73,4,3.27,MG,1690395054
289,krasnoural'sk,58.3638,60.0407,14.42,95,18,2.28,RU,1690395054
290,abu jibeha,11.4562,31.2285,23.24,88,100,2.98,SD,1690395054
291,port alfred,-33.5906,26.891,15.66,78,48,4.62,ZA,1690395475
292,flying fish cove,-10.4217,105.6791,24.82,88,100,4.63,CX,1690395346
